model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (statistical_parity_difference),UnifiedMetricLibrary (accuracy_score),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (average_odds_difference)
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6758508914100486,0.24768353528153952,0.5489814533292794,0.3748641231478581
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6758508914100486,0.24768353528153952,0.5489814533292794,0.3748641231478581
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6758508914100486,0.24768353528153952,0.5489814533292794,0.3748641231478581
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6758508914100486,0.24768353528153952,0.5489814533292794,0.3748641231478581
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6758508914100486,0.24768353528153952,0.5489814533292794,0.3748641231478581
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.31083751735925647,0.6753106428957321,0.18763364219529577,0.634889265324048,0.2846565157541364
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.31083751735925647,0.6753106428957321,0.18763364219529577,0.634889265324048,0.2846565157541364
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.31083751735925647,0.6753106428957321,0.18763364219529577,0.634889265324048,0.2846565157541364
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.31083751735925647,0.6753106428957321,0.18763364219529577,0.634889265324048,0.2846565157541364
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.31083751735925647,0.6753106428957321,0.18763364219529577,0.634889265324048,0.2846565157541364
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.3788590962504006,0.668827660723933,0.23619030648610118,0.5584949114562261,0.35828054037500257
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.3788590962504006,0.668827660723933,0.23619030648610118,0.5584949114562261,0.35828054037500257
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.3788590962504006,0.668827660723933,0.23619030648610118,0.5584949114562261,0.35828054037500257
